sphote	sppar	para	a	b	c	d	f	g	aa	bb	cc	lm	li
Disa	eleg	Disa2eleg3	1.4	1.2	0.9	0.35	0.4	0.3	1.2	1.1	0.9	1.5	1.6
Disa	neif	Disa3neif1	0.85	0.8	0.5	0.25	0.35	0.2	0.75	0.7	0.45	0.5	0.75
Disa	eleg	Disa3eleg1	1.45	1.3	1	0.4	0.5	0.35	1.4	1.3	0.9	1.9	1.95
Disa	neif	Disa3neif2	0.9	0.8	0.45	0.4	0.4	0.25	0.7	0.65	0.3	0.55	0.7
Disa	eleg	Disa3eleg2	1.45	1.35	0.95	0.5	0.5	0.3	1.3	1.25	0.85	1.9	2
Disa	eleg	Disa3eleg3	1.55	1.4	1	0.5	0.45	0.3	1.45	1.2	0.8	1.9	1.8
Disa	neif	Disa3neif3	0.9	0.7	0.35	0.3	0.35	0.2	0.75	0.6	0.4	0.3	0.65
Dian	frat	Dian6frat1	1.7	1.5	1.1	0.45	0.6	0.4	1.3	1.2	0.9	0.8	1.2
Divu	eleg	Divu9eleg1	1.75	1.7	1.25	0.5	0.65	0.35	1.65	1.5	1	1.9	2.1
Divu	kech	Divu9kech1	1.55	1.45	0.75	0.5	0.8	0.4	1.4	1.3	0.6	1.6	1.7
Divu	kech	Divu9kech2	1.6	1.5	0.7	0.8	0.8	0.25	1.7	1.3	0.75	1.8	1.65
Divu	kech	Divu9kech3	1.8	1.7	1.5	0.5	0.9	0.3	1.65	1.5	1	1.7	1.6
Divu	dipl	Divu9dipl1	1	0.9	0.45	0.4	0.5	0.25	0.9	0.85	0.5	1.3	1.3
Divu	kech	Divu9kech4	1.8	1.7	1.2	0.6	0.9	0.6	1.5	1.4	0.7	1.9	1.8
Dian	frat	Dian7frat1	1.6	1.5	0.9	0.55	0.6	0.25	1.3	1.25	0.9	1.2	1.4
Disa	morm	Disa5morm1	1.6	1.55	1.25	0.7	0.8	0.65	1.4	1.3	0.8	2.2	2
Disa	furc	Disa5furc1	2.1	1.85	1.5	0.6	0.7	0.4	1.8	1.7	1.2	1.9	2.7
Disa	furc	Disa5furc2	2	1.9	1.3	0.6	0.7	0.3	1.7	1.6	1.2	1.8	2.8
Disa	furc	Disa5furc3	1.9	1.85	1.45	0.6	0.75	0.4	1.85	1.7	1.1	1.95	2.6
Dian	frat	Dian8frat1	1.7	1.6	1	0.65	0.75	0.25	1.5	1.4	0.95	1.1	1.4
Disa	neif	Disa6neif1											
Disa	eleg	Disa6eleg1	1.4	1.3	0.9	0.45	0.5	0.35	1.2	1.15	0.9	1.85	1.9
Disa	eleg	Disa6eleg2	1.7	1.6	0.9	0.5	0.6	0.4	1.45	1.4	0.8	1.55	1.5
Disa	falc	Disa7falc1	1.8	0.9	0.5	0.4	0.4	0.2	0.85	0.75	0.5	1.6	1.1
Disa	igno	Disa7igno1	0.7	0.6	0.4	0.3	0.3	0.2	0.7	0.5	0.4	1.1	0.8
Disa	eleg	Disa7eleg1	1.4	1.3	0.8	0.3	0.4	0.3	1.3	1.2	0.85	1.55	1.7
Disa	eleg	Disa7eleg2	1.5	1.45	1.05	0.3	0.45	0.3	1.1	1	0.7	1.7	1.6
Disa	eleg	Disa7eleg3	1.4	1.3	1.1	0.3	0.5	0.35	1.2	1.1	0.8	1.5	1.8
Disa	eleg	Disa7eleg4	1.4	1.3	0.9	0.45	0.45	0.3	1.3	1.2	0.8	1.6	1.6
Sasa	conf	Sasa1conf1	1.3	1.25	0.55	0.3	0.35	0.2	1.2	1.1	0.65	1.3	1.3
Disa	erge	Disa7erge1	1.2	1	0.65	0.4	0.35	0.3	1.25	1.05	0.7	1.3	1.4
Disa	eleg	Disa7eleg5	1.3	1.2	0.8	0.4	0.45	0.3	1.2	1.15	0.75	1.7	1.5
Disa	igno	Disa3igno1	0.8	0.7	0.65	0.2	0.25	0.15	0.65	0.6	0.5	1	1.1
Disa	erge	Disa3erge1	1.45	1.35	1	0.35	0.7	0.4	1	0.8	0.4	2.3	1.7
Disa	igno	Disa3igno2	0.9	0.85	0.5	0.4	0.4	0.3	0.7	0.6	0.3	1.4	1
Disa	igno	Disa3igno3	1	0.9	0.6	0.5	0.45	0.15	0.8	0.75	0.6	0.8	0.8
Dipu	ther	Dipu1ther1	2.33439	2.127012	1.511457	0.81168	1.024008	0.600099	1.924485	1.884867	1.113909	2.850378	2.847273
Dipu	erge	Dipu1erge1	2.419881	2.299821	1.590891	0.942	1.30128	0.539799	2.046228	1.995	1.168476	2.824314	2.633721
Dipu	erge	Dipu1erge2	2.463072	2.366592	1.777335	0.723039	1.178592	0.652299	2.138442	2.079069	1.215906	2.49252	2.503482
Dipu	igno	Dipu1igno1	1.255686	1.231809	0.896154	0.53304	0.635379	0.366	1.155066	1.123071	0.680118	1.721778	1.856166
Dipu	erge	Dipu1erge3	2.340186	2.242617	1.548843	0.879918	1.15899	0.5946	1.720437	1.591494	1.09914	2.9913	2.690727
Dipu	ther	Dipu1ther2	2.396076	2.309388	1.663746	0.866841	1.15071	0.576465	2.074803	2.023773	1.156056	2.752764	2.776614
Dipu	erge	Dipu1erge4	2.322699	2.347863	1.749606	0.808026	0.952305	0.539016	2.053347	1.928508	1.115115	2.896386	2.729337
Divu	neif	Divu10neif1	1.814631	1.717548	1.289004	0.717297	0.796956	0.447603	1.388832	1.359429	0.97881	1.905234	1.838076
Dipu	igno	Dipu1igno2	1.299516	1.315455	0.784194	0.711726	0.735873	0.332367	1.208508	1.169493	0.752793	1.855734	1.69224
Disa	eleg	Disa8eleg1	1.825791	1.742325	1.229118	0.768606	0.676887	0.394863	1.505652	1.456548	1.158162	2.116707	2.398884
Disa	eleg	Disa8eleg2	1.849866	1.810473	1.338558	0.671262	0.744639	0.496599	1.7196	1.654566	1.190211	2.122017	2.489181
Disa	eleg	Disa8eleg3	1.831947	1.820256	1.357233	0.703707	0.762072	0.504609	1.773555	1.698081	1.213404	2.079771	2.655267
Disa	eleg	Disa8eleg4	1.771629	1.732362	1.212	0.58992	0.636	0.330261	1.696938	1.696506	1.288419	2.08113	2.303133
Disa	erge	Disa8erge1	1.869216	1.78458	1.223484	0.75885	0.897054	0.464154	1.523184	1.492017	0.949794	2.778063	2.434551
Disa	erge	Disa8erge2	1.932369	1.851675	1.327767	0.740274	0.983643	0.535308	1.656123	1.605165	1.019454	2.640849	2.35734
Disa	furc	Disa8furc1	1.904739	1.842612	1.3047	0.697209	0.797478	0.487338	1.745196	1.681539	1.148208	2.211918	2.621373
Disa	furc	Disa8furc2	1.812849	1.69098	1.24026	0.661668	0.778587	0.53745	1.578516	1.476528	0.9888	1.692636	2.186907
Disa	igno	Disa8igno1	1.467141	1.421088	0.978459	0.718494	0.726072	0.416643	1.180365	1.10544	0.715272	1.935483	1.673709
